type,title,release_year,rating,duration,listed_in,description,show_id,director,cast,country,date_added
Movie,Jingle All The Way,1996,PG,90 min,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,s44,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,"Friday, November 5, 2021"
Movie,Jingle All the Way 2,2014,PG,91 min,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,s45,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,"Friday, November 5, 2021"
Movie,"McFarland, USA",2015,PG,131 min,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,s56,Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,"Friday, October 29, 2021"
Movie,Rookie of the Year,1993,PG,104 min,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",s57,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,"Friday, October 22, 2021"
Movie,Alvin and the Chipmunks,2007,PG,91 min,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",s81,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",United States,"Friday, October 1, 2021"
Movie,Alvin and the Chipmunks: The Road Chip,2015,PG,92 min,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",s82,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",United States,"Friday, October 1, 2021"
Movie,Confessions of a Shopaholic,2009,PG,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,s100,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,"Friday, September 17, 2021"
Movie,Twenty Something,2021,PG,11 min,"Animation, Family","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",s112,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",United States,"Friday, September 10, 2021"
Movie,Underdog,2007,PG,85 min,"Action-Adventure, Family, Parody",A super-powered beagle tries to save Capital City from a mad scientist.,s125,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,"Friday, August 27, 2021"
Movie,Garfield,2004,PG,82 min,"Comedy, Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him.",s145,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence",United States,"Friday, July 30, 2021"
Movie,We Bought a Zoo,2011,PG,125 min,"Animals & Nature, Drama, Family",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,s169,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Colin Ford, Elle Fanning",United States,"Friday, July 16, 2021"
Movie,The Sandlot,1993,PG,101 min,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.,s186,David Mickey Evans,"Art La Fleur, Tom Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi, Marty York",United States,"Friday, July 2, 2021"
Movie,The Sandlot 2,2005,PG,98 min,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge.",s187,David Mickey Evans,"Max Lloyd-Jones, James Willson, Samantha Burton, Brett Kelly, James Earl Jones, Cole Evan Weiss",United States,"Friday, July 2, 2021"
Movie,Luca,2021,PG,101 min,"Animation, Buddy, Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.",s195,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Marco Barricelli, Jim Gaffigan",United States,"Friday, June 18, 2021"
Movie,Raya and the Last Dragon,2021,PG,112 min,"Action-Adventure, Animation, Family","When evil threatens Kumandra, Raya must find the last dragon to save it.",s205,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina , Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong",United States,"Friday, June 4, 2021"
Movie,Baby's Day Out,1994,PG,99 min,"Action-Adventure, Comedy, Crime",Three bumbling kidnappers attempt to nab the baby of a rich couple.,s241,Patrick Read Johnson,"Joe Mantegna, Lara Flynn Boyle, Joe Pantoliano, Brian Haley, Cynthia Nixon, Fred Dalton Thompson",United States,"Friday, April 23, 2021"
Movie,White Fang 2: Myth of the White Wolf,1994,PG,106 min,"Action-Adventure, Animals & Nature, Drama",A dog-wolf stops miners from destroying a sacred land.,s251,Ken Olin,"Scott Bairstow, Charmaine Craig, Alfred Molina, Geoffrey Lewis, Al Harrington, Anthony Michael Ruivivar",United States,"Friday, April 16, 2021"
Movie,Man of the House,1995,PG,97 min,"Comedy, Coming of Age, Crime",A man joins the YMCA to impress the son of the woman of his dreams.,s255,James Orr,"Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas, George Wendt",United States,"Friday, April 9, 2021"
Movie,Cheaper By the Dozen,2003,PG,99 min,"Comedy, Family",Tom and Kate Baker discover that managing twelve children and big careers are a difficult mix.,s296,Shawn Levy,"Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling, Piper Perabo",United States,"Friday, February 19, 2021"
Movie,Flora & Ulysses,2021,PG,95 min,"Comedy, Coming of Age, Drama",Comic book fan Flora saves a squirrel whose superhero powers bring hope and wonder to her family.,s298,Lena Khan,"Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deavere Smith, Danny Pudi, Benjamin Evan Ainsworth",United States,"Friday, February 19, 2021"
Movie,You Again,2010,PG,106 min,Comedy,An unlikely reunion causes high school drama to resurface between a nice girl and her arch nemesis.,s304,Andy Fickman,"Kristen Bell, Sigourney Weaver, Jamie Lee Curtis, Odette Yustman, Kristin Chenoweth, Victor Garber",United States,"Friday, February 12, 2021"
Movie,Max Keeble's Big Move,2001,PG,88 min,"Comedy, Family","After a week of creating mayhem, Max has to face the consequences.",s329,Tim Hill,"Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey, Josh Peck, Nora Dunn",United States,"Friday, December 25, 2020"
Movie,Soul,2020,PG,107 min,"Animation, Comedy, Family","Jamie Foxx stars in Pixar’s ""Soul,"" a comedy about what makes you... YOU.",s330,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",United States,"Friday, December 25, 2020"
Movie,Into the Woods,2014,PG,126 min,"Action-Adventure, Fantasy, Musical",A baker and his wife's desperation to have a child sends them on a quest to reverse a witch’s curse.,s335,Rob Marshall,"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman",United States,"Friday, December 18, 2020"
Movie,Ralph Breaks the Internet,2018,PG,116 min,"Action-Adventure, Animation, Comedy",Ralph and Vanellope are swept into the internet.,s343,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",United States,"Friday, December 11, 2020"
